elapsed_ms,label,r,g,b
0,brightness_pinned_100,-1,-1,-1
440,sync_black,0,0,0
1484,sync_flash,255,255,255
1626,sync_gap,0,0,0
1951,sync_flash,255,255,255
2124,sync_gap,0,0,0
2441,sync_flash,255,255,255
2588,sync_gap,0,0,0
4449,ramp_0,0,0,0
6475,ramp_8,8,8,8
8510,ramp_16,16,16,16
10547,ramp_24,24,24,24
12565,ramp_32,32,32,32
14595,ramp_48,48,48,48
16612,ramp_64,64,64,64
18651,ramp_80,80,80,80
20675,ramp_96,96,96,96
22710,ramp_112,112,112,112
24730,ramp_128,128,128,128
26758,ramp_160,160,160,160
28823,ramp_192,192,192,192
30849,ramp_224,224,224,224
32881,ramp_255,255,255,255
34911,ramp_down_255,255,255,255
36190,ramp_down_224,224,224,224
37423,ramp_down_192,192,192,192
38728,ramp_down_160,160,160,160
39961,ramp_down_128,128,128,128
41269,ramp_down_112,112,112,112
42495,ramp_down_96,96,96,96
43773,ramp_down_80,80,80,80
45008,ramp_down_64,64,64,64
46269,ramp_down_48,48,48,48
47495,ramp_down_32,32,32,32
48787,ramp_down_24,24,24,24
50027,ramp_down_16,16,16,16
51345,ramp_down_8,8,8,8
52584,ramp_down_0,0,0,0
53876,end_black,0,0,0
