elapsed_ms,label,r,g,b
0,brightness_pinned_100,-1,-1,-1
467,sync_black,0,0,0
1494,sync_flash,255,255,255
1666,sync_gap,0,0,0
1981,sync_flash,255,255,255
2216,sync_gap,0,0,0
2535,sync_flash,255,255,255
2686,sync_gap,0,0,0
4503,pulse_0_on,255,255,255
4934,pulse_0_off,0,0,0
6562,pulse_1_on,255,255,255
6994,pulse_1_off,0,0,0
8619,pulse_2_on,255,255,255
9091,pulse_2_off,0,0,0
10717,pulse_3_on,255,255,255
11141,pulse_3_off,0,0,0
12824,pulse_4_on,255,255,255
13255,pulse_4_off,0,0,0
14912,pulse_5_on,255,255,255
15338,pulse_5_off,0,0,0
16960,pulse_6_on,255,255,255
17395,pulse_6_off,0,0,0
19015,pulse_7_on,255,255,255
19505,pulse_7_off,0,0,0
21130,pulse_8_on,255,255,255
21574,pulse_8_off,0,0,0
23208,pulse_9_on,255,255,255
23628,pulse_9_off,0,0,0
25310,pulse_10_on,255,255,255
25747,pulse_10_off,0,0,0
27378,pulse_11_on,255,255,255
27820,pulse_11_off,0,0,0
29439,end_black,0,0,0
