elapsed_ms,label,r,g,b
0,brightness_pinned_100,-1,-1,-1
425,sync_black,0,0,0
1440,sync_flash,255,255,255
1569,sync_gap,0,0,0
1862,sync_flash,255,255,255
1994,sync_gap,0,0,0
2283,sync_flash,255,255,255
2412,sync_gap,0,0,0
4205,rate_2_marker,0,0,0
4918,rate_2,255,0,0
5432,rate_2,0,0,255
5945,rate_2,255,0,0
6455,rate_2,0,0,255
6967,rate_2,255,0,0
7480,rate_2,0,0,255
7990,rate_2,255,0,0
8501,rate_2,0,0,255
9012,rate_5_marker,0,0,0
9727,rate_5,255,0,0
9935,rate_5,0,0,255
10146,rate_5,255,0,0
10356,rate_5,0,0,255
10566,rate_5,255,0,0
10777,rate_5,0,0,255
10985,rate_5,255,0,0
11195,rate_5,0,0,255
11404,rate_5,255,0,0
11614,rate_5,0,0,255
11824,rate_5,255,0,0
12032,rate_5,0,0,255
12243,rate_5,255,0,0
12453,rate_5,0,0,255
12665,rate_5,255,0,0
12874,rate_5,0,0,255
13084,rate_5,255,0,0
13292,rate_5,0,0,255
13502,rate_5,255,0,0
13711,rate_5,0,0,255
13925,rate_10_marker,0,0,0
14637,rate_10,255,0,0
14748,rate_10,0,0,255
14856,rate_10,255,0,0
14967,rate_10,0,0,255
15077,rate_10,255,0,0
15192,rate_10,0,0,255
15300,rate_10,255,0,0
15413,rate_10,0,0,255
15522,rate_10,255,0,0
15631,rate_10,0,0,255
15738,rate_10,255,0,0
15846,rate_10,0,0,255
15955,rate_10,255,0,0
16063,rate_10,0,0,255
16173,rate_10,255,0,0
16280,rate_10,0,0,255
16387,rate_10,255,0,0
16495,rate_10,0,0,255
16604,rate_10,255,0,0
16713,rate_10,0,0,255
16823,rate_10,255,0,0
16932,rate_10,0,0,255
17044,rate_10,255,0,0
17156,rate_10,0,0,255
17264,rate_10,255,0,0
17373,rate_10,0,0,255
17485,rate_10,255,0,0
17595,rate_10,0,0,255
17704,rate_10,255,0,0
17813,rate_10,0,0,255
17920,rate_10,255,0,0
18028,rate_10,0,0,255
18139,rate_10,255,0,0
18246,rate_10,0,0,255
18354,rate_10,255,0,0
18462,rate_10,0,0,255
18571,rate_10,255,0,0
18679,rate_10,0,0,255
18789,rate_10,255,0,0
18897,rate_10,0,0,255
19006,rate_15_marker,0,0,0
19718,rate_15,255,0,0
19793,rate_15,0,0,255
19867,rate_15,255,0,0
19942,rate_15,0,0,255
20015,rate_15,255,0,0
20090,rate_15,0,0,255
20164,rate_15,255,0,0
20239,rate_15,0,0,255
20313,rate_15,255,0,0
20388,rate_15,0,0,255
20463,rate_15,255,0,0
20537,rate_15,0,0,255
20613,rate_15,255,0,0
20686,rate_15,0,0,255
20763,rate_15,255,0,0
20838,rate_15,0,0,255
20912,rate_15,255,0,0
20987,rate_15,0,0,255
21061,rate_15,255,0,0
21135,rate_15,0,0,255
21210,rate_15,255,0,0
21283,rate_15,0,0,255
21356,rate_15,255,0,0
21432,rate_15,0,0,255
21507,rate_15,255,0,0
21582,rate_15,0,0,255
21656,rate_15,255,0,0
21731,rate_15,0,0,255
21806,rate_15,255,0,0
21881,rate_15,0,0,255
21954,rate_15,255,0,0
22033,rate_15,0,0,255
22106,rate_15,255,0,0
22182,rate_15,0,0,255
22257,rate_15,255,0,0
22331,rate_15,0,0,255
